Time [s],CH1[V],
7.2600029e-04,-7.99999e-02,
7.2800030e-04,-0.00000e+00,
7.3000032e-04,3.36000e+00,
7.3200034e-04,3.32000e+00,
7.3400035e-04,3.28000e+00,
7.3600037e-04,3.28000e+00,
7.3800038e-04,3.24000e+00,
7.4000040e-04,3.24000e+00,
7.4200041e-04,3.28000e+00,
7.4400043e-04,3.28000e+00,
7.4600044e-04,3.24000e+00,
7.4800046e-04,3.28000e+00,
7.5000047e-04,3.24000e+00,
7.5200049e-04,3.24000e+00,
7.5400050e-04,3.28000e+00,
7.5600052e-04,3.24000e+00,
7.5800053e-04,3.28000e+00,
7.6000055e-04,3.24000e+00,
7.6200056e-04,3.28000e+00,
7.6400058e-04,3.24000e+00,
7.6600059e-04,3.28000e+00,
7.6800061e-04,3.24000e+00,
7.7000062e-04,3.28000e+00,
7.7200064e-04,3.24000e+00,
7.7400065e-04,3.28000e+00,
7.7600067e-04,3.24000e+00,
7.7800069e-04,3.24000e+00,
7.8000070e-04,3.24000e+00,
7.8200072e-04,3.28000e+00,
7.8400073e-04,3.24000e+00,
7.8600075e-04,3.28000e+00,
7.8800076e-04,3.24000e+00,
7.9000078e-04,3.28000e+00,
7.9200079e-04,3.24000e+00,
7.9400081e-04,3.28000e+00,
7.9600082e-04,3.28000e+00,
7.9800084e-04,3.24000e+00,
8.0000085e-04,3.24000e+00,
8.0200087e-04,3.28000e+00,
8.0400088e-04,3.24000e+00,
8.0600090e-04,3.28000e+00,
8.0800091e-04,3.24000e+00,
8.1000093e-04,3.28000e+00,
8.1200094e-04,3.28000e+00,
8.1400096e-04,3.24000e+00,
8.1600097e-04,3.24000e+00,
8.1800099e-04,3.28000e+00,
8.2000101e-04,3.24000e+00,
8.2200102e-04,3.28000e+00,
8.2400104e-04,3.28000e+00,
8.2600105e-04,3.24000e+00,
8.2800107e-04,3.24000e+00,
8.3000108e-04,3.28000e+00,
8.3200110e-04,3.28000e+00,
8.3400111e-04,-1.20000e-01,
8.3600113e-04,-1.20000e-01,
8.3800114e-04,-7.99999e-02,
8.4000116e-04,-0.00000e+00,
8.4200117e-04,-0.00000e+00,
8.4400119e-04,-0.00000e+00,
8.4600120e-04,-0.00000e+00,
8.4800122e-04,-0.00000e+00,
8.5000123e-04,-0.00000e+00,
8.5200125e-04,-0.00000e+00,
8.5400126e-04,-7.99999e-02,
8.5600128e-04,-0.00000e+00,
8.5800129e-04,-0.00000e+00,
8.6000131e-04,-0.00000e+00,
8.6200133e-04,-0.00000e+00,
8.6400134e-04,-0.00000e+00,
8.6600136e-04,-0.00000e+00,
8.6800137e-04,-0.00000e+00,
8.7000139e-04,-0.00000e+00,
8.7200140e-04,-0.00000e+00,
8.7400142e-04,-0.00000e+00,
8.7600143e-04,-0.00000e+00,
8.7800145e-04,-0.00000e+00,
8.8000146e-04,-0.00000e+00,
8.8200148e-04,-0.00000e+00,
8.8400149e-04,-0.00000e+00,
8.8600151e-04,-0.00000e+00,
8.8800152e-04,-0.00000e+00,
8.9000154e-04,-0.00000e+00,
8.9200155e-04,-0.00000e+00,
8.9400157e-04,-0.00000e+00,
8.9600158e-04,-0.00000e+00,
8.9800160e-04,4.00000e-02,
9.0000161e-04,-0.00000e+00,
9.0200163e-04,-0.00000e+00,
9.0400164e-04,-0.00000e+00,
9.0600166e-04,-0.00000e+00,
9.0800168e-04,-0.00000e+00,
9.1000169e-04,-0.00000e+00,
9.1200171e-04,-0.00000e+00,
9.1400172e-04,-0.00000e+00,
9.1600174e-04,-0.00000e+00,
9.1800175e-04,-0.00000e+00,
9.2000177e-04,-7.99999e-02,
9.2200178e-04,-0.00000e+00,
9.2400180e-04,-0.00000e+00,
9.2600181e-04,-0.00000e+00,
9.2800183e-04,-0.00000e+00,
